기업이름,진행중 채용공고,업력,기업형태,사원수,매출액,평균연봉,최저연봉,최고연봉
니즈로봇(주),False,업력 5년차,중소기업,3 명,"1억 4,165만원","3,536 만원","2,497만원","5,246만원"
(주)로보그램,False,업력 8년차,중소기업,3 명,"1억 3,794만원",False,False,False
(주)삼영기술,False,업력 9년차,중소기업,4 명,"6억 5,937만원","3,897 만원","2,595만원","5,289만원"
(주)아덴트로봇,False,업력 8년차,중소기업,7 명,"3억 5,838만원","4,149 만원","2,797만원","5,589만원"
(주)로닉,False,업력 4년차,중소기업,6 명,416만원,"3,104 만원","2,542만원","5,342만원"
(주)대덕로보트,False,업력 10년차,중소기업,False,"6,030만원",False,False,False
에스제이워터테크(주),False,업력 5년차,중소기업,7 명,False,"5,333 만원","3,241만원","6,176만원"
(주)아이알로봇,False,업력 23년차,중소기업,9 명,False,"4,292 만원","2,976만원","5,643만원"
(주)에이아이솔텍,False,업력 17년차,중소기업,5 명,"7억 4,804만원","4,619 만원","3,022만원","6,314만원"
드림가이드컴퍼니(주),False,업력 9년차,중소기업,6 명,"6억 1,495만원","2,824 만원","2,164만원","5,256만원"
(주)리맵,False,업력 6년차,중소기업,0 명,"6억 2,141만원",False,False,False
워킨위드,False,False,중소기업,False,"2억 6,673만원",False,False,False
(주)다비다,False,업력 7년차,중소기업,False,False,"5,231 만원","3,056만원","6,746만원"
두이엔지(주),False,업력 5년차,중소기업,4 명,"10억 4,177만원","3,183 만원","2,397만원","4,777만원"
(주)윔,False,업력 5년차,중소기업,8 명,4억 951만원,"4,600 만원","2,867만원","6,732만원"
(주)엣눅하다,False,업력 15년차,중소기업,3 명,"11억 3,811만원","3,430 만원","2,463만원","5,191만원"
주재영에이아이컴퍼니,False,False,중소기업,False,False,False,False,False
주원로보틱스,False,False,중소기업,False,False,False,False,False
(주)로보그램인공지능로봇연구소,False,업력 6년차,중소기업,3 명,"1억 7,384만원",False,False,False
세종뉴텍(주),False,업력 10년차,중소기업,3 명,"1억 4,516만원","4,126 만원","2,639만원","6,223만원"
(주)쓰리에이솔루션즈,False,업력 5년차,중소기업,4 명,"3억 1,870만원","6,723 만원","3,508만원","7,717만원"
(주)바이클립,False,업력 6년차,중소기업,0 명,"2,442만원",False,False,False
(주)이지텍,False,업력 16년차,중소기업,5 명,14억 41만원,"8,045 만원","4,626만원","8,303만원"
주신에코솔루션(주),False,업력 8년차,중소기업,5 명,"6억 3,696만원",False,False,False
(주)카이렌,False,업력 13년차,중소기업,0 명,"1억 3,682만원",False,False,False
(주)쓰리코엔지니어링,False,업력 7년차,중소기업,0 명,"14억 4,624만원",False,False,False
에스티앤아이,False,False,중소기업,False,"5억 6,715만원",False,False,False
에스에이치로보틱스,False,False,중소기업,False,"6억 9,452만원",False,False,False
플로리젠로보틱스(주),False,업력 4년차,중소기업,False,"9,759만원",False,False,False
(주)칼만텍,False,업력 5년차,중소기업,8 명,"2억 9,212만원","6,204 만원","3,635만원","6,977만원"
드론메이커스(주),False,업력 6년차,중소기업,3 명,"8,828만원",False,False,False
제이비소프트,False,False,중소기업,False,"3,477만원",False,False,False
